Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
87	91.5456	22	1	595a1_880-345348.xlsx	4857.437	0.278	1.858	0.89	10.81	3.478	21.39	7.545	4951.569	0.106	0.552	0.219	-4.753	1.771	-2.792	-1.054	5000.199	0.106	0.552	0.219	-14.26	5.314	-8.376	-3.163			
88	90.1152	22	1	595a1_880-349352.xlsx	4857.429	0.149	0.836	0.687	15.14	7.724	13.48	6.499	4954.521	0.77	1.894	0.774	1.495	0.8338	3.015	1.888	5003.151	0.77	1.894	0.774	4.485	2.501	9.044	5.665			
89	88.6848	22	1	595a1_880-353356.xlsx	4857.366	0.181	0.957	0.336	10.47	4.086	10.67	4.341	4956.741	0.939	2.548	1.427	-1.613	0.9037	-4.375	-2.474	5005.371	0.939	2.548	1.427	-4.838	2.711	-13.12	-7.423			
90	87.2544	22	1	595a1_880-357360.xlsx	4856.445	0.246	0.375	0.419	12.35	11.64	4.928	3.419	4954.748	0.328	1.501	0.766	2.88	1.144	4.6	1.995	5003.378	0.328	1.501	0.766	8.639	3.431	13.8	5.985			
91	85.824	22	1	595a1_880-361364.xlsx	4861.003	0.911	2.582	1.754	-4.474	3.205	-12.3	-7.732	4949.728	0.252	1.569	0.461	-3.661	1.062	-6.115	-1.897	4998.357	0.252	1.569	0.461	-10.98	3.185	-18.35	-5.692			
92	84.3936	22	1	595a1_880-365368.xlsx	4871.105	0	0.327	0	-23.43	0	-8.166	-6.631	4953.134	0.868	3.675	1.357	-1.533	0.6492	-5.998	-2.636	5001.764	0.868	3.675	1.357	-4.6	1.948	-17.99	-7.908			
93	82.9632	22	1	595a1_880-369372.xlsx	4857.018	0	0.108	0.051	60.72	119.3	6.954	10.6	4967.128	0.292	-1.254	0.517	-2.605	1.21	3.476	1.485	5015.758	0.292	-1.254	0.517	-7.814	3.629	10.43	4.456			
94	81.5328	22	1	595a1_880-373376.xlsx	4860.069	1.181	2.747	3.132	3.546	2.94	10.37	8.732	4955.746	0	-0.139	0.013	8.944	6.861	-1.319	0	5004.376	0	-0.139	0.013	26.83	20.58	-3.957	0			
95	80.1024	22	1	595a1_880-377380.xlsx	4863.483	0.926	1.715	1.318	5.508	4.543	10.06	6.368	4945.676	1.745	5.827	2.683	-1.114	0.568	-6.912	-3.958	4994.306	1.745	5.827	2.683	-3.343	1.704	-20.74	-11.87			
96	78.672	22	1	595a1_880-381384.xlsx	4854.632	0.163	-0.439	0.327	20.18	13.33	-9.429	-3.282	4956.219	0.04	-0.218	0.087	15.62	26.43	-3.627	-4.95	5004.849	0.04	-0.218	0.087	46.85	79.29	-10.88	-14.85			
97	77.2416	22	1	595a1_880-385388.xlsx	4850.979	2.201	12.31	4.435	3.547	1.209	46.47	17.09	4956.781	0.651	1.824	1.009	-1.462	0.7765	-2.84	-1.822	5005.411	0.651	1.824	1.009	-4.386	2.329	-8.519	-5.467			
98	75.8112	22	1	595a1_880-389392.xlsx	4859.103	1.453	3.308	1.965	2.839	2.391	9.995	8.011	4956.893	0.068	-0.061	0.015	-13.33	5.452	0.8674	0.3139	5005.523	0.068	-0.061	0.015	-39.99	16.36	2.602	0.9418			
99	74.3808	22	1	0	4856.869	0.308	-0.524	0.387	-11.1	5.967	6.189	3.955	4955.912	0.104	0.361	0.241	-5.979	6.716	-2.295	-1.386	5004.542	0.104	0.361	0.241	-17.94	20.15	-6.886	-4.157			
100	72.9504	22	1	595a1_880-397400.xlsx	4856.869	0.308	-0.524	0.387	-11.1	5.967	6.189	3.955	4955.912	0.104	0.361	0.241	-5.979	6.716	-2.295	-1.386	5004.542	0.104	0.361	0.241	-17.94	20.15	-6.886	-4.157			
101	71.52	22	1	595a1_880-401404.xlsx	4857.757	2.543	2.684	0	-1.517	0	-4.335	-27.01	4955.189	0.563	1.142	0.676	1.472	1	1.79	1.478	5003.819	0.563	1.142	0.676	4.417	3	5.371	4.435			
102	70.0896	22	1	595a1_880-405408.xlsx	4854.262	1.29	3.142	1.93	3.347	2.465	11.19	8.222	4957.965	0.335	1.252	0.422	-3.171	1.101	-4.226	-1.667	5006.595	0.335	1.252	0.422	-9.512	3.304	-12.68	-5.001			
103	68.6592	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
104	67.2288	22	1	595a1_880-413416.xlsx	4858.094	0.71	2.095	0.897	4.644	2.762	10.35	6.6	4953.885	0.09	-0.43	0.226	-4.312	2.829	1.976	0.937	5002.515	0.09	-0.43	0.226	-12.94	8.487	5.927	2.811			
